"﻿""8년 연속 합계 출산율 전국 1위 걸맞게 공무원 출산 장려대책 추진키로  [아시아경제 노해섭 기자]전라남도(도지사 이낙연)는 8년 연속 합계 출산율 전국 1위 지역에 걸맞게 여성만을 위한 특별휴가인 ‘보건휴가 유급화’등 가족계획을 앞둔 공무원의 출산 장려대책을 1월부터 시행한다고 3일 밝혔다.  이에 따라 여성들이 정당한 권리를 행사할 수 있도록 생리기와 임신한 경우 월 1일 보건휴가를 보장하고 현재 ‘무급’으로 규정된 ‘공무원 복무조례’를 ‘유급’으로 개정해 전국 17개 시도 가운데 처음으로 명문화할 방침이다.  또한 출산 준비부터 육아휴직까지 설계할 수 있도록 연 2회에 걸쳐 정기적으로 전문 강사 초청강의를 하는 등 적극 지원에 나설 계획이다.  남성 공무원의 육아에 대한 사회적 인식과 분위기를 개선하기 위해 도와 시군 공무원을 대상으로 세미나를 개최하는 등 남성 공무원 육아휴가도 적극 권장키로 했다.  전라남도 소속 여성 공무원 485명 가운데 최근 3년간 육아휴직을 실시한 직원은 16.3%인 79명으로 매년 늘고 있으며",6.17,2.86,1.19,89.03,0.76,최저임금
"(광주=연합뉴스) 손상원 기자 = 박성수 광주·전남연구원장은 15일 광주시 공무원교육원 강당에서 취임식을 하고 공식 업무에 들어갔다.  취임식에는 윤장현 광주시장, 이낙연 전남지사, 조영표 광주시의회 의장, 장휘국 광주시 교육감 등 400여명이 참석했다.  박 원장은 취임사에서 ""연구원 정체성 확립과 위상 정립을 위한 비전을 세우고 자치단체, 의회 등 주요 이해관계자와의 연계도 강화하겠다""며 ""연구수요, 전문성을 고려해 인력을 배치하고 업무중복을 최소화해 경영효율성을 높이겠다""고 밝혔다.  박 원장은 35년간 전남대 경영학과 교수로 재직했으며 사단법인 한국산학협동연구원장, 대한경영학회장, 중앙인사위원회 위원, 기아자동차 광주공장 발전자문위원 등을 역임했다.  sangwon700@yna.co.kr",6.12,2.57,1.1,89.82,0.4,최저임금
"[아시아경제 서영서]  지난해 12월 전남도와 신협중앙회는 전남도청 서재필실에서 이낙연 지사와 문철상 신협중앙회장, 박우영 목포신협 이사장(신협중앙회 이사)이 참석한 가운데 ‘영세 소상공인 금융지원 업무협약’을 체결, 고리채 해소의 첫걸음을 내디뎠다.  목포신협은 이 협약을 통해 일일상환대출의 평균금리를 14.8%에서 5.9% 이내로 하향 적용했다.  목포신협은 지난 11일 소상공인 일일수납 대출을 목포시 상동 '11번 청과’에 최초로 실시해 기념식을 가졌다.  김영조 신협중앙회 전남지역본부장, 박우영 목포신협 이사장과 이계연 전남신용보증재단 이사장이 참석한 가운데 소상공인 금융지원 대출 사업장 1호점 간판을 수여했다.  박우영 이사장은 이날 “신협-신용보증재단 영세 소상공인 일일상환대출의 첫 시작을 전남지역 소상공인에게 널리 알림으로써 조합원들의 자금난이 해결되는 원동력이 되었으면 좋겠다”고 밝혔다.  그는 또 “영세 소상공인 일일상환대출은 2년 이내 최대 3000만원까지 가능하다”며 “자금이 필요한 소상공인들은 신협을 찾아 상담받으면 도움이 될 것”이라고 덧붙였다.  서영서 기자",2.78,1.02,0.38,95.52,0.3,최저임금
"[광주CBS 임영호 기자]광주전남연구원 박성수 원장이 취임했다.  박성수원장은 15일 광주시공무원교육원 강당에서 윤장현 광주시장과 이낙연 전라남도지사 등 400여 명이 참석한 가운데 취임식을 갖고 공식업무를 시작했다.  박 원장은 취임사에서 “연구원의 정체성 확립과 위상정립을 위한 통합연구원의 새로운 비전 설계와 함께 자치단체 및 의회 등과 네트워크를 강화할 것”이라며 “이를 위해 광주․전남의 연구수요와 연구인력의 전문성을 고려하여 인력을 배치하고, 중복업무 최소화를 통한 연구역량 결집 등 통합과 경영효율성 향상을 위한 조직재편 등 인사조직 전문가로서 새로운 조직문화를 창출할 계획이다”고 말했다.  또 “지역 및 지역특화산업 전문연구를 위한 우수 연구인력 충원 및 전문성 강화와 학제 간 공동연구 유도, 정책수요자와의 쌍방적 소통과 참여를 통해 연구성과의 실천성을 제고하는 등 연구역량을 강화할 것”이라고 강조했다.  박성수 원장은 35년간 전남대학교 경영학과 교수로 재직하였으며, (사)한국산학협동연구원장, 대한경영학회장, 중앙인사위원회 위원, 기아자동차 광주공장 발전자문위원 등을 역임했다.  imboss@cbs.co.kr  저작권자 © CBS 노컷뉴스(www.nocutnews.co.kr) 무단전재 및 재배포 금지",12.83,27.52,3.03,55.48,1.14,최저임금
"【무안=뉴시스】맹대환 기자 = 전남도는 설 명절을 맞아 농가 소득증대와 안정적 판로 확보를 위해 온-오프라인을 통한 농수특산물 판촉 활동을 추진한다고 19일 밝혔다.  오프라인으로 운영하는 직거래장터는 서울과 인천, 광주 등 대도시를 중심으로 관공서 광장, 백화점, 대형마트 등에서 82회에 걸쳐 진행한다.  온라인 판촉은 도와 시·군 쇼핑몰 집중 마케팅 24회, TV홈쇼핑 5회 등 다양한 판촉활동을 추진한다. 판촉활동에는 790여 업체가 참여하며 매출 목표는 100억원이다.  전남도 온라인 쇼핑몰인 남도장터에서는 전남우정청, G마켓 등과 연계한 오픈마켓 판매를 통해 제수용품, 과일, 한우세트 등 300여 품목을 7~40% 할인한다.  또 시·군, 농협과 합동으로 2월5일부터 10일까지 서해안고속도로 요금소, 시·군 버스터미널, 기차역 등에서 귀성객을 대상으로 전남산 고품질 브랜드쌀을 홍보한다.  전남도는 우수 농수특산물 브랜드 책자를 지난해 12월 말 제작해 전국 정부기관과 재외공관, 기업체, 재경향우회, 유통업체 등 3200곳에 배부했다.  이낙연 전남지사도 서한문 2000부를 발송해 전남산 우수 농수특산물로 설 선물과 제수용품을 구매하도록 요청했다.  mdhnews@newsis.com",4.64,3.25,1.03,90.52,0.56,최저임금
"22일 이용호 전남지적발달장애인복지협회 대표 전달  [아시아경제 노해섭 기자]이낙연 전라남도지사가 22일  (사)한국지적발달장애인복지협회 전남협회(대표 이용호)로부터 장애인 복지 증진 공로로 감사패를 받았다.  감사패는 도자기 형태로 ‘포덕행혜, 복지흥국‘(평소 덕과 은혜를 널리 베푸는 복지행정을 펴 나라를 부흥시킨다는 뜻)’이라는 글귀가 새겨졌다.  이용호 대표는 “발달장애인의 복지 증진을 위해 노력해온 것에 대해 회원들의 고마운 마음을 담았다”고 밝혔다.  전라남도는 이낙연 지사 취임 이후 장애인복지 예산을 확대하고, 발달장애인 가족을 위한 힐링 프로그램을 운영하는 등 발달장애인 복지에 관심을 쏟고 있다. 특히 지난해에는 30년 만에 처음으로 발달장애인을 위한 전국대회가 전남에서 개최되도록 지원했다.  올해는 발달장애인 권익 보호를 위해 5억 원의 예산을 확보, 발달장애인지원센터 설치를 준비하고 있다. 센터가 설치되면 각 발달장애인의 복지 욕구에 적합한 복지자원을 연계하고, 생애주기별 맞춤형 서비스를 지원해 사회적으로 취약한 발달장애인의 인권이 한층 강화될 전망이다.  노해섭  기자 nogary@",3.59,1.35,0.42,94.3,0.34,최저임금
"전남사회복지협의회, 22일 목포서 신년인사회  [아시아경제 노해섭 기자]전남사회복지협의회(회장 노진영)는 22일 목포 신안비치호텔에서 사회복지관계자들이 한자리에 모인 가운데 화합과 온정 있는 도민복지 구현의 새로운 도약을 다짐하는 ‘신년인사회’를 가졌다.  이날 신년인사회에는 이낙연 전라남도지사와 노진영 회장, 정시채 전남사회복지협의회 고문, 사회복지 직능단체 대표 등이 참석했다.  행사는 전남사회복지협의회장의 신년인사와 도지사 축사, 축하떡 절단, 축하공연 순으로 진행됐다.  노진영 회장은 이날 신년사에서 “올 한 해 사회복지 각계 직능단체와 유기적 네트워크를 강화하고, 사회복지 인식 저변 확대 및 푸드뱅크 활성화 등의 활동을 펼쳐나갈 것”이라고 말했다.  이낙연 도지사는 축사를 통해 “도 재정여건 등이 어려움에도 불구하고 나름대로 촘촘하게 복지 사각지대와 그늘진 데가 없도록 노력하고 있지만 충분치 않다”며 “그럼에도 불구하고 사회복지 관계자들의 도움으로 비교적 좋은 평가를 받아 지난해 보건복지부 등 중앙부처에서 크고 작은 11개 상을 거의 싹쓸이 하다시피 했다”고 말했다.  이어 “올해도 버스가 안 들어가는 동네에 100원 택시를 운영하고, 소상공인들의 신협 일수대출 연리를 14.8%에서 5.9% 이하로 인하하는 생활 속 복지업무를 착실히 추진하겠다”며  “행정이 미처 못보고 있는 그늘진 곳에 따뜻한 온정을 베풀어주길 바란다”고 당부했다.  노해섭  기자 nogary@",7.23,4.12,1.04,86.74,0.88,최저임금
"(무안=뉴스1) 김한식 기자 = 전남도는 도정 목표인 '청년이 돌아오는 전남' 실현을 위해 청년 일자리 창출 등 4개 분야 70개 세부사업을 추진하는 제1차 전남도 청년발전 기본계획(2016∼2020)을 14일 확정했다.  도는 이날 전남도청년발전위원회(위원장 이낙연 도지사)를 열고  이같은 내용의 제1차 전남도 청년발전 기본계획을 심의, 의결했다.  이날 의결된 전남도 청년발전 기본계획은 전남지역 청년과 각계 전문가 등 520명을 대상으로 실시한 설문조사 결과를 토대로 수립됐다.  5년간 국비와 지방비 등을 포함해 7412억 원을 들여 청년 일자리 1만 3000 개 창출, 선도인력 2만 7000 명 양성, 복지 지원 11만 8000 명을 목표로 추진한다.  분야별로 청년일자리 창출의 경우 ▲정규직을 채용하는 중소기업에 1인당 3년간 최대 1200만 원의 근속장려금 지원 ▲도내 6개 대학에서 산학 연계 통합 취업 교육과정 운영 등 일자리 미스매치 해소를 위한 행·재정적 지원 ▲신규 창업기업에 필요한 자금을 투자 형태로 지원하는 엔젤투자 매칭펀드 투자사업 추진 ▲농업계열 학교 학생들이 선도농가에서 영농 기술을 습득할 수 있도록 실습 지원 ▲매년 5개 청년 사회적경제 기업 육성에 나선다.  인력 양성은 ▲사회 진출을 앞둔 지역 대학생들에게 인문학, 경영학 등을 강연하는 청년 리더 육성 아카데미 운영 ▲취업 역량 강화를 위한 대학창조일자리센터 3개소 운영 ▲결혼 이민 여성의 안정적 조기 정착을 지원하기 위해 결혼이민자 여성 110명을 모국어 상담원으로 양성 등을 추진한다.  청년문화는 ▲여수, 나주, 담양 등 3개소에 청년 핫 플레이스 조성 ▲매년 10월 마지막 주를 전남도 청년주간으로 설정해 다양한 이벤트를 개최 등에 나선다.  청년 복지는 ▲공공산후조리원 3개소 추가 설립 ▲자녀 양육에 따른 경제적 부담 해소 및 나눔문화 확산을 위해 육아용품 나누미센터 운영 ▲양질의 보육서비스 제공을 위해 110명의 어린이집 대체교사 확충 등의 사업을 펼친다.  이낙연 도지사는 이날 회의에서 ""지난해는 17년 만에 전남의 인구, 특히 경제활동인구가 증가했다""며 ""오늘 발족한 청년발전위원회를 통해 청년이 돌아오게 할 '활기'와 '매력'을 어떻게 만들 것인가 고민하고 그 가능성을 높여나가자""고 말했다.  청년발전 기본계획이 성공적으로 추진되면 2020년 전남 청년인구 감소율이 현재 1.8%에서 1.1%로 둔화되고 청년 고용률은 51%에서 55%로 높아지며 합계 출산율은 전국 1위를 지속 유지할 전망이다.  도는 계획의 실행력을 높이기 위해 매년 시행계획을 수립해 사업계획을 보완 발전시켜나갈 계획이다.  hskim@  ), 무단 전재 및 재배포 금지]",4.96,2.17,0.72,91.73,0.42,최저임금
"이 의원은 “총 피해액이 3억원을 넘지 않아 국고 지원은 어려운 상황”이라면서 “다행히 큰 피해는 없지만 일부 노후 하우스가 붕괴돼 피해 농민들의 상심이 큰 실정이다”고 말했다.  그러면서 “지자체와 경찰, 군장병 협조를 통해 신속히 피해복구가 이뤄질 수 있도록 하겠다”고 말했다.  노해섭  기자 nogary@",20.21,15.87,5.25,51.77,6.89,최저임금
"박용하 전남 여수상공회의소 회장은 2016년도에도 여수권역의 발전과 상공인들의 권익신장을 위해 최선의 노력을 다하겠다고 밝혔다.  박 회장은 5일 여수 엠블호텔에서 열린 신년인사회에서 신년사를 통해 “먼저 지역발전과 경제활력 제고를 위해 지속가능한 여수관광 발전 대책을 강구하고, 여수시 마이스산업의 활성화 전략을 수립하겠다”고 밝혔다. 박 회장은 이어 기업환경의 혁신과 경제계의 교류·협력을 강화해 나가겠다고 다짐했다.  박 회장은 경제활성화와 기업의 경영환경 개선을 위한 정책 대안을 발굴하고, 기업활동에 애로요인으로 작용하고 있는 규제개혁을 위해 정부와 관련 기관에 건의를 하는 등 이의 실현을 위해 부단히 노력하겠다고 했다.  박 회장은 또 기업사랑운동의 활성화와 협의회 운영의 내실을 강조했다. 이를 위해 ‘기업사랑 근로자 콘서트’를 열고, 직장인 체육대회와 아이디어 공모전을 비롯한 시민과 함께하는 경제교실과 여수산단 투어를 실시키로 했다.  마지막으로 청년실업 해소와 여수지역의 인구 증가를 위한 일자리 창출을 위해 기업인이 존중받고 기업하기 좋은 사회분위기 조성에 앞장서겠다고도 밝혔다.  박 회장은 “이같은 모든 일들이 저희 상공회의소 힘만으로는 여러가지로 부족함이 많다”며 “이 자리에 참석한 지역의 지도자 여러분께서 저희 여수상공회의소가 그 역할을 다 할 수 있도록 많은 가르침을 달라”고 당부했다.  그러면서 2016년에는 이와 같은 사업을 차질없이 추진함은 물론, 회원사의 조그마한 일이라도 보다 적극적으로 지역민들에게 알리는 등 홍보활동을 강화해 나가겠다고 약속했다.  이날 여수상의 주최 신년 인사회에는 이낙연 전남지사, 김성곤·주승용 국회의원, 주철현 여수시장, 지방의원, 기업체 대표 등 350여명이 함께했다.  박 회장은 ‘2016년 여수상공대상’ 시상식에서 경영부문에 롯데케미칼(주) 이자형 부사장, 근로복지부문에 대림산업(주) 김태현 부장, 산업평화부문에 (사)여수산단건설업협의회 황인팔 사무국장에 상을 수여하고, 격려했다.  이낙연 전남지사는 축사를 통해 “경기 용인과 여수시가 관광객 1위를 다투고 있어 매우 기쁘다”며 “이는 시민의 열정과 지도자의 혜안이라고 생각하고 전남도에서도 2018년까지 관광객 오천만명 달성을 반드시 이뤄 내겠다”고 다짐했다.  주철현 여수시장도 축사에서 “최근 여수시사회조사에서 81% 시민이 여수를 살기좋은 도시로 응답한 바 있다”며 “실질적인 시민들의 소득과 질적인 생활 수준 향상을 위해 노력하겠다”고 말했다.  모바일 경향 [  - ⓒ 경향신문(www.khan.co.kr), 무단전재 및 재배포 금지  〈경향신문은 한국온라인신문협회(www.kona.or.kr)의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.〉",7.34,2.73,1.26,87.87,0.8,최저임금
